time	V(input)
3.707474462435954e-03	-4.822575e-02
3.723179904912451e-03	-4.929174e-02
3.741063983280833e-03	-4.992121e-02
3.761675698653081e-03	-4.986552e-02
3.784005178078235e-03	-4.886306e-02
3.820209068583966e-03	-4.521335e-02
3.877905820558896e-03	-3.470397e-02
3.948183271648080e-03	-1.599264e-02
3.997762818009691e-03	-7.028083e-04
4.000765240935463e-03	2.404066e-04
4.006770086787009e-03	2.126244e-03
4.018779778490100e-03	5.886160e-03
4.035003905072064e-03	1.090836e-02
4.035510909027751e-03	1.106375e-02
4.036524916939123e-03	1.137418e-02
4.038552932761869e-03	1.199366e-02
4.042608964407359e-03	1.322667e-02
4.044284591939623e-03	1.373359e-02
4.045403098911850e-03	1.407112e-02
4.046103046471179e-03	1.428199e-02
4.046583180954921e-03	1.442648e-02
4.046961346415040e-03	1.454019e-02
4.047280096781626e-03	1.463597e-02
4.047577746302709e-03	1.472536e-02
4.047853553962589e-03	1.480814e-02
4.048115414979796e-03	1.488670e-02
4.048401453834523e-03	1.497246e-02
4.048664432533457e-03	1.505127e-02
4.048963092480695e-03	1.514071e-02
4.049314916773296e-03	1.524602e-02
4.049702932333536e-03	1.536206e-02
4.050140630750516e-03	1.549286e-02
4.050780116599573e-03	1.568375e-02
4.051505209150441e-03	1.589988e-02
4.052391944325311e-03	1.616375e-02
4.053670665373170e-03	1.654338e-02
4.055356299902959e-03	1.704217e-02
4.055506038884422e-03	1.708639e-02
4.055805516847350e-03	1.717478e-02
4.056404472773205e-03	1.735137e-02
4.056631863019795e-03	1.741835e-02
4.056761648324224e-03	1.745657e-02
4.056767186735154e-03	1.745820e-02
4.056778263557013e-03	1.746146e-02
4.056800417200731e-03	1.746798e-02
4.056826661943757e-03	1.747571e-02
4.056879151429809e-03	1.749115e-02
4.056906162909127e-03	1.749910e-02
4.056945938844435e-03	1.751081e-02
4.056969472032967e-03	1.751773e-02
4.057005500819250e-03	1.752833e-02
4.057047121245870e-03	1.754058e-02
4.057094667284520e-03	1.755457e-02
4.057154127419532e-03	1.757206e-02
4.057224899032614e-03	1.759287e-02
4.057306907060470e-03	1.761698e-02
4.057417862631771e-03	1.764960e-02
4.057551913312825e-03	1.768900e-02
4.057739166548372e-03	1.774401e-02
4.057971711681795e-03	1.781229e-02
4.058309289851160e-03	1.791134e-02
4.058756975981203e-03	1.804258e-02
4.059521773843367e-03	1.826646e-02
4.060795251654929e-03	1.863829e-02
4.062851672231004e-03	1.923620e-02
4.065124395027896e-03	1.989326e-02
4.067551921929546e-03	2.059058e-02
4.069976104891898e-03	2.128217e-02
4.072453265193407e-03	2.198377e-02
4.074911268613973e-03	2.267468e-02
4.076175558239084e-03	2.302796e-02
4.076275006955520e-03	2.305569e-02
4.076370165961960e-03	2.308221e-02
4.076470403010471e-03	2.311014e-02
4.076571717718530e-03	2.313836e-02
4.076695904035087e-03	2.317294e-02
4.076762622400480e-03	2.319151e-02
4.076871917102476e-03	2.322193e-02
4.076942554711121e-03	2.324158e-02
4.077045886284876e-03	2.327031e-02
4.077204627952591e-03	2.331444e-02
4.077367176748295e-03	2.335960e-02
4.077596848007287e-03	2.342338e-02
4.077898584051940e-03	2.350708e-02
4.078950601714209e-03	2.379826e-02
4.080079038592305e-03	2.410944e-02
4.082335912348496e-03	2.472814e-02
4.086849659860878e-03	2.595051e-02
4.093871835399641e-03	2.781033e-02
4.102508292313248e-03	3.002309e-02
4.114084728689239e-03	3.284936e-02
4.127954774336359e-03	3.600559e-02
4.144733329569043e-03	3.945635e-02
